"","Country","Place","Start.date","End.date","Level"
"1","Argentina","","2020-03-19","31/03/2020","National"
"2","Australia","","2020-03-23","22/09/2020","National"
"3","Austria","","2020-03-16","2020-04-13","National"
"4","Belgium","","2020-03-18","18/04/2020","National"
"5","Brazil","Santa Catarina","2020-03-17","31/03/2020","State"
"6","São Paulo","","2020-03-24","07/04/2020",""
"7","Chile","","2020-03-19","","National"
"8","Colombia","","2020-03-25","13/04/2020","National"
"9","Czech Republic","","2020-03-16","01/04/2020","National"
"10","Denmark","","2020-03-11","13/04/2020","National"
"11","Dominican Republic","","2020-03-19","03/04/2020","National"
"12","El Salvador","","2020-03-12","01/04/2020","National"
"13","Fiji","Lautoka","2020-03-20","","City"
"14","Finland","Uusimaa","2020-03-27","","Region"
"15","France","","2020-03-17","15/04/2020","National"
"16","Germany","Bavaria","2020-03-20","03/04/2020","State"
"16","Germany","","2020-03-23","03/04/2020","National"
"17","Freiburg,BW","","2020-03-21","03/04/2020","City"
"18","Greece","","2020-03-23","2020-04-06","National"
"19","Honduras","","2020-03-17","29/03/2020","National"
"20","Hungary","","2020-03-28","11/04/2020","National"
"21","India","","2020-03-25","15/04/2020","National"
"22","Indonesia","Tegal","2020-03-26","25/07/2020","City"
"23","Ireland","","2020-03-12","29/03/2020","National"
"24","Italy","","2020-03-09","03/04/2020","National"
"25","Jordan","","2020-03-21","","National"
"26","Lebanon","","2020-03-15","29/03/2020","National"
"27","Lithuania","","2020-03-16","2020-04-13","National"
"28","Malaysia","","2020-03-18","2020-04-14","National"
"29","Montenegro","Tuzi","2020-03-24","","Municipality"
"30","Morocco","","2020-03-19","20/04/2020","National"
"31","Nepal","","2020-03-24","30/03/2020","National"
"32","New Zealand","","2020-03-26","","National"
"33","Norway","","2020-03-12","13/04/2020","National"
"34","Pakistan","Punjab","2020-03-24","06/04/2020","Province"
"35","Sindh","","2020-03-24","07/04/2020","Province"
"36","Balochistan","","2020-03-24","07/04/2020","Province"
"37","Gilgit-Baltistan","","2020-03-22","","Administrative"
"38","Azad Kashmir","","2020-03-24","07/04/2020","Administrative"
"39","Panama","","2020-03-25","","National"
"40","Peru","","2020-03-16","","National"
"41","Philippines","Davao Region","2020-03-19","","Region"
"42","Luzon","","2020-03-15","14/04/2020","Island group"
"43","Soccsksargen","","2020-03-23","","Region"
"44","Poland","","2020-03-13","","National"
"45","Portugal","","2020-03-19","02/04/2020","National"
"46","Romania","","2020-03-25","","National"
"47","Samoa","","2020-03-26","09/04/2020","National"
"48","South Africa","","2020-03-26","16/04/2020","National"
"49","Spain","","2020-03-14","14/04/2020","National"
"50","Tunisia","","2020-03-22","","National"
"51","United Kingdom","","2020-03-23","13/04/2020","National"
"52","United States","California","2020-03-19","29/03/2020","State"
"53","Clark County,NV","","2020-03-20","20/04/2020","County"
"54","Connecticut","","2020-03-23","29/03/2020","State"
"55","Illinois","","2020-03-21","07/04/2020","State"
"56","Kansas City,KS","","2020-03-24","23/04/2020","City"
"57","Massachusetts","","2020-03-24","07/04/2020","State"
"58","Michigan","","2020-03-24","14/04/2020","State"
"59","New York","","2020-03-20","29/03/2020","State"
"60","Oregon","","2020-03-24","","State"
"61","Wisconsin","","2020-03-24","24/04/2020","State"
"62","Venezuela","","2020-03-17","","National"
